no;restaurant_name;city;district;place;unique_menu;price;google_rating;google_count;platform_rating;platform_count;specialized;beef;chicken;seafood;appetizer;other_dish;dessert;other_poultry;takeaway;delivery;outdoor;smoking_area;alcohol_served;wifi;reservation;other
1;Tucano's Churrascaria;Central Jakarta;Sudirman;Senayan City;Classic Beef 90 minutes;268000; 4.7 ;330; 4.7 ;777;Brazilian;sirloin, wagyu;yes;no;soup, pasta;churros, egg tart, fries;ice cream;no;yes;yes;yes;yes;cocktail, wine, beer, highball;yes;yes;buffet, bar, live entertainment, private dining
2;Kitchenette;South Jakarta;Senayan;Senayan City;Kitchenette Steak Frites;205000; 4.5 ;745; 4.1 ;574;Western;rib eye;roasted;dory, barramundi, fish and chips;fries, meatball, quesadillas, salad;burger, rice plate, fried rice, savory crepes etc;crepe, cake, pie;seafood;yes;no;no;no;wine, beer, cocktail, liquor, spirit;yes;yes;no
3;Tony Roma's;Central Jakarta;Thamrin;UOB Plaza;Baby Back Ribs with Fish Fillet;170000; 4.5 ;559; 4.6 ;488;Western;ribs, striploin, rib eye;crispy tenderloins, steak, barbeque;platters, shrimp, salmon, fish fillet;soup, salad, quesadilas, fries etc;artichoke dip, mozarella stick, burger etc;ice cream, cake, special etc.;pork, seafood;no;no;no;no;liquor, rum, tequila, gin, vodka, whiskey etc;yes;yes;no
4;Gandy Steak House;Central Jakarta;Menteng;Owned place;Grilled Australian Tenderloin;191000; 4.5 ;2041; 4.3 ;386;Western;sirloin, tenderloin, rib eye, ribs;steak, schnitzel, cordon bleu etc;salmon, fish, prawn, platter, fish and chips;soup, salad, pasta, garlic bread, quesadilas;sandwich, schnitzel, burger, fries etc;ice cream, gelato;seafood, lamb;yes;no;no;no;cocktail, wine, beer;yes;yes;bakery
5;Joni Steak;Central Jakarta;Gajah Mada;Owned place;Wagyu Top Side;72000; 4.5 ;5093; 4.1 ;545;Local;sirloin, rib eye, wagyu;steak, schnitzel, burger, cordon bleu etc;prawn, salmon, fish and chips;pasta;pizza, fries;banana split, cream brulee;seafood;yes;yes;no;no;no;no;no;no
6;MUCCA Steak;Central Jakarta;Sudirman;Citywalk Sudirman;Tomahawk Bone In Rib Eye Steak;940000; 4.5 ;391; 4.2 ;232;Western;tenderloin, sirloin, rib eye, wagyu;steak;dory, fish, salmon;wraps, salad, pasta;burger, nasi goreng, fries etc;ice cream, cake, french toast;seafood;yes;no;no;yes;beer;yes;yes;kids friendly
7;El Machote;Central Jakarta;Menteng;Owned place;Chivito Plato;150000; 0.0 ;0; 4.1 ;154;Mexican;sirloin, rib eye, tenderloin, brisket etc;yes;salmon;soup, nachos, quesadilas, salad, pasta, empanada;fries, burger, sandwich, wings etc;crepe, ice cream;pork, seafood, lamb;yes;yes;no;yes;beer, vodka, whiskey, tequila, wine etc;yes;yes;all you can eat, bar
8;Waroeng Steak & Shake;Central Jakarta;Cempaka Putih;Owned place;Sirloin Double with Brown Sauce;34545; 4.4 ;6470; 3.6 ;138;Local;sirloin, tenderloin, rib eye;steak, cordon bleu;fish steak, grilled;no;chicken rice;sweet drinks;seafood;yes;no;no;no;no;no;no;no
9;Holycow! Menteng;Central Jakarta;Menteng;Gedung Sere Manis;Wagyu Rib Eye Ranger's Valley;199000; 4.3 ;1472; 3.7 ;325;Local Westerned;sirloin, tenderloin, rib eye, wagyu etc;steak;platters;fries;pasta;ice cream, cake, sweet drinks;seafood;yes;no;yes;yes;no;yes;no;kids friendly
10;Holycow! Pecenongan;Central Jakarta;Pecenongan;Owned place;Australian Prime Tenderloin;133000; 4.5 ;2356; 4.0 ;115;Local Westerned;sirloin, tenderloin, rib eye, wagyu, hokubee;steak;salmon;no;meatballs, salmon, fries etc;gelato, cake, pancake;seafood;yes;no;no;yes;no;yes;no;no
